slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:2531	hematologic cancer	4174	MCM5	up
DOID:2531	hematologic cancer	79365	BHLHE41	down
DOID:2531	hematologic cancer	64080	RBKS	down
DOID:2531	hematologic cancer	1299	COL9A3	down
DOID:2531	hematologic cancer	5660	PSAP	down
DOID:2531	hematologic cancer	8702	B4GALT4	down
DOID:2531	hematologic cancer	50515	CHST11	up
DOID:2531	hematologic cancer	5538	PPT1	down
DOID:2531	hematologic cancer	51604	PIGT	down
DOID:2531	hematologic cancer	28955	DEXI	down
DOID:2531	hematologic cancer	54910	SEMA4C	down
DOID:2531	hematologic cancer	54942	FAM206A	down
DOID:2531	hematologic cancer	54963	UCKL1	up
DOID:2531	hematologic cancer	9962	SLC23A2	up
DOID:2531	hematologic cancer	54996	MARC2	down
DOID:2531	hematologic cancer	64215	DNAJC1	down
DOID:2531	hematologic cancer	1051	CEBPB	down
DOID:2531	hematologic cancer	5351	PLOD1	down
DOID:2531	hematologic cancer	6036	RNASE2	up
DOID:2531	hematologic cancer	5230	PGK1	up
DOID:2531	hematologic cancer	4043	LRPAP1	down
DOID:2531	hematologic cancer	80183	KIAA0226L	up
DOID:2531	hematologic cancer	4033	LRMP	up
DOID:2531	hematologic cancer	80152	CENPT	up
DOID:2531	hematologic cancer	4082	MARCKS	down
DOID:2531	hematologic cancer	5142	PDE4B	up
DOID:2531	hematologic cancer	64757	MARC1	down
DOID:2531	hematologic cancer	5066	PAM	down
DOID:2531	hematologic cancer	29927	SEC61A1	down
DOID:2531	hematologic cancer	7905	REEP5	down
DOID:2531	hematologic cancer	58472	SQRDL	down
DOID:2531	hematologic cancer	6675	UAP1	down
DOID:2531	hematologic cancer	6598	SMARCB1	up
DOID:2531	hematologic cancer	7639	ZNF85	up
DOID:2531	hematologic cancer	1958	EGR1	down
DOID:2531	hematologic cancer	23677	SH3BP4	down
DOID:2531	hematologic cancer	10857	PGRMC1	down
DOID:2531	hematologic cancer	23543	RBFOX2	down
DOID:2531	hematologic cancer	23576	DDAH1	down
DOID:2531	hematologic cancer	31	ACACA	down
DOID:2531	hematologic cancer	10772	SRSF10	up
DOID:2531	hematologic cancer	10600	USP16	up
DOID:2531	hematologic cancer	10657	KHDRBS1	up
DOID:2531	hematologic cancer	7181	NR2C1	up
DOID:2531	hematologic cancer	23378	RRP8	up
DOID:2531	hematologic cancer	23328	SASH1	down
DOID:2531	hematologic cancer	10048	RANBP9	up
DOID:2531	hematologic cancer	2131	EXT1	down
DOID:2531	hematologic cancer	11144	DMC1	up
DOID:2531	hematologic cancer	2176	FANCC	up
DOID:2531	hematologic cancer	55010	PARPBP	up
DOID:2531	hematologic cancer	10140	TOB1	down
DOID:2531	hematologic cancer	11083	DIDO1	up
DOID:2531	hematologic cancer	9695	EDEM1	up
DOID:2531	hematologic cancer	79621	RNASEH2B	up
DOID:2531	hematologic cancer	9585	KIF20B	up
DOID:2531	hematologic cancer	9576	SPAG6	up
DOID:2531	hematologic cancer	205564	SENP5	up
DOID:2531	hematologic cancer	3561	IL2RG	up
DOID:2531	hematologic cancer	2043	EPHA4	down
DOID:2531	hematologic cancer	11342	RNF13	down
